hgGenes	mmGenes
PEX14	Pex14
CASZ1	Casz1
TARDBP	Tardbp
MASP2	Masp2
SRM	Srm
EXOSC10	Exosc10
MTOR	Mtor
ANGPTL7	Angptl7
UBIAD1	Ubiad1
FBXO2	Fbxo2
FBXO44	Fbxo44
FBXO6	Fbxo6
MAD2L2	Mad2l2
DRAXIN	Draxin
AGTRAP	Agtrap
MTHFR	Mthfr
CLCN6	Clcn6
NPPA	Nppa
NPPB	Nppb
PLOD1	Plod1
MFN2	Mfn2
MIIP	Miip
TNFRSF8	Tnfrsf8
TNFRSF1B	Tnfrsf1b
SNORA70	Snora70
VPS13D	Vps13d
DHRS3	Dhrs3
AADACL4	Aadacl4
AADACL3	Aadacl3
PRAMEF12	Pramef12
PRAMEF6	Pramef6
PRAMEF25	Pramef25
PRAMEF8	Pramef8
PRAMEF17	Pramef17
PRAMEF20	Pramef20
LRRC38	Lrrc38
PDPN	Pdpn
PRDM2	Prdm2
KAZN	Kazn
TMEM51	Tmem51
FHAD1	Fhad1
EFHD2	Efhd2
CTRC	Ctrc
CELA2A	Cela2a
CASP9	Casp9
DNAJC16	Dnajc16
AGMAT	Agmat
DDI2	Ddi2
RSC1A1	Rsc1a1
PLEKHM2	Plekhm2
SLC25A34	Slc25a34
TMEM82	Tmem82
FBLIM1	Fblim1
SPEN	Spen
ZBTB17	Zbtb17
HSPB7	Hspb7
CLCNKA	Clcnka
CLCNKB	Clcnkb
FAM131C	Fam131c
EPHA2	Epha2
ARHGEF19	Arhgef19
RSG1	Rsg1
FBXO42	Fbxo42
SZRD1	Szrd1
SPATA21	Spata21
NECAP2	Necap2
CROCC	Crocc
MFAP2	Mfap2
ATP13A2	Atp13a2
SDHB	Sdhb
PADI2	Padi2
PADI1	Padi1
PADI3	Padi3
PADI4	Padi4
PADI6	Padi6
RCC2	Rcc2
ARHGEF10L	Arhgef10l
IGSF21	Igsf21
KLHDC7A	Klhdc7a
PAX7	Pax7
TAS1R2	Tas1r2
ALDH4A1	Aldh4a1
IFFO2	Iffo2
UBR4	Ubr4
EMC1	Emc1
MRTO4	Mrto4
PQLC2	Pqlc2
CAPZB	Capzb
MINOS1	Minos1
NBL1	Nbl1
HTR6	Htr6
TMCO4	Tmco4
RNF186	Rnf186
OTUD3	Otud3
PLA2G2E	Pla2g2e
PLA2G2A	Pla2g2a
PLA2G5	Pla2g5
PLA2G2D	Pla2g2d
PLA2G2F	Pla2g2f
PLA2G2C	Pla2g2c
UBXN10	Ubxn10
VWA5B1	Vwa5b1
CAMK2N1	Camk2n1
MUL1	Mul1
FAM43B	Fam43b
CDA	Cda
PINK1	Pink1
DDOST	Ddost
KIF17	Kif17
SH2D5	Sh2d5
HP1BP3	Hp1bp3
EIF4G3	Eif4g3
ECE1	Ece1
ALPL	Alpl
RAP1GAP	Rap1gap
USP48	Usp48
LDLRAD2	Ldlrad2
HSPG2	Hspg2
CELA3B	Cela3b
CELA3A	Cela3a
CDC42	Cdc42
WNT4	Wnt4
ZBTB40	Zbtb40
EPHA8	Epha8
C1QA	C1qa
C1QC	C1qc
C1QB	C1qb
EPHB2	Ephb2
LACTBL1	Lactbl1
KDM1A	Kdm1a
LUZP1	Luzp1
HTR1D	Htr1d
HNRNPR	Hnrnpr
TCEA3	Tcea3
ASAP3	Asap3
E2F2	E2f2
ID3	Id3
RPL11	Rpl11
PITHD1	Pithd1
LYPLA2	Lypla2
GALE	Gale
HMGCL	Hmgcl
FUCA1	Fuca1
CNR2	Cnr2
PNRC2	Pnrc2
SRSF10	Srsf10
MYOM3	Myom3
IL22RA1	Il22ra1
IFNLR1	Ifnlr1
GRHL3	Grhl3
STPG1	Stpg1
NIPAL3	Nipal3
RCAN3	Rcan3
NCMAP	Ncmap
SRRM1	Srrm1
CLIC4	Clic4
RUNX3	Runx3
SYF2	Syf2
RHD	Rhd
TMEM50A	Tmem50a
TMEM57	Tmem57
LDLRAP1	Ldlrap1
MAN1C1	Man1c1
MTFR1L	Mtfr1l
AUNIP	Aunip
PAQR7	Paqr7
STMN1	Stmn1
PAFAH2	Pafah2
SCARNA17	Scarna17
EXTL1	Extl1
SLC30A2	Slc30a2
TRIM63	Trim63
PDIK1L	Pdik1l
CNKSR1	Cnksr1
CATSPER4	Catsper4
CEP85	Cep85
SH3BGRL3	Sh3bgrl3
UBXN11	Ubxn11
CD52	Cd52
LIN28A	Lin28a
DHDDS	Dhdds
HMGN2	Hmgn2
RPS6KA1	Rps6ka1
ARID1A	Arid1a
PIGV	Pigv
ZDHHC18	Zdhhc18
SFN	Sfn
GPN2	Gpn2
GPATCH3	Gpatch3
NUDC	Nudc
NR0B2	Nr0b2
TRNP1	Trnp1
FAM46B	Fam46b
SLC9A1	Slc9a1
WDTC1	Wdtc1
TMEM222	Tmem222
SYTL1	Sytl1
MAP3K6	Map3k6
CD164L2	Cd164l2
GPR3	Gpr3
WASF2	Wasf2
AHDC1	Ahdc1
FGR	Fgr
FAM76A	Fam76a
STX12	Stx12
PPP1R8	Ppp1r8
THEMIS2	Themis2
RPA2	Rpa2
SMPDL3B	Smpdl3b
XKR8	Xkr8
EYA3	Eya3
PTAFR	Ptafr
DNAJC8	Dnajc8
ATPIF1	Atpif1
SESN2	Sesn2
MED18	Med18
PHACTR4	Phactr4
RCC1	Rcc1
SNHG3	Snhg3
SNORA73B	Snora73b
TRNAU1AP	Trnau1ap
SNHG12	Snhg12
SNORD99	Snord99
TAF12	Taf12
RAB42	Rab42
RNU11	Rnu11
GMEB1	Gmeb1
YTHDF2	Ythdf2
OPRD1	Oprd1
EPB41	Epb41
TMEM200B	Tmem200b
SRSF4	Srsf4
MECR	Mecr
PTPRU	Ptpru
MATN1	Matn1
LAPTM5	Laptm5
SDC3	Sdc3
PUM1	Pum1
SNORD85	Snord85
NKAIN1	Nkain1
SNRNP40	Snrnp40
ZCCHC17	Zcchc17
FABP3	Fabp3
SERINC2	Serinc2
TINAGL1	Tinagl1
HCRTR1	Hcrtr1
PEF1	Pef1
COL16A1	Col16a1
SPOCD1	Spocd1
PTP4A2	Ptp4a2
KHDRBS1	Khdrbs1
TMEM39B	Tmem39b
KPNA6	Kpna6
TXLNA	Txlna
CCDC28B	Ccdc28b
IQCC	Iqcc
DCDC2B	Dcdc2b
TMEM234	Tmem234
EIF3I	Eif3i
FAM167B	Fam167b
LCK	Lck
HDAC1	Hdac1
MARCKSL1	Marcksl1
TSSK3	Tssk3
FAM229A	Fam229a
BSDC1	Bsdc1
ZBTB8B	Zbtb8b
ZBTB8A	Zbtb8a
ZBTB8OS	Zbtb8os
RBBP4	Rbbp4
SYNC	Sync
YARS	Yars
S100PBP	S100pbp
FNDC5	Fndc5
HPCA	Hpca
TMEM54	Tmem54
RNF19B	Rnf19b
AK2	Ak2
TRIM62	Trim62
A3GALT2	A3galt2
PHC2	Phc2
ZSCAN20	Zscan20
CSMD2	Csmd2
HMGB4	Hmgb4
SMIM12	Smim12
GJB5	Gjb5
GJB4	Gjb4
GJB3	Gjb3
GJA4	Gja4
DLGAP3	Dlgap3
ZMYM6	Zmym6
ZMYM1	Zmym1
SFPQ	Sfpq
ZMYM4	Zmym4
SNORA62	Snora62
NCDN	Ncdn
TFAP2E	Tfap2e
PSMB2	Psmb2
CLSPN	Clspn
AGO4	Ago4
AGO1	Ago1
AGO3	Ago3
TEKT2	Tekt2
ADPRHL2	Adprhl2
COL8A2	Col8a2
TRAPPC3	Trappc3
MAP7D1	Map7d1
THRAP3	Thrap3
SH3D21	Sh3d21
EVA1B	Eva1b
STK40	Stk40
LSM10	Lsm10
OSCP1	Oscp1
MRPS15	Mrps15
CSF3R	Csf3r
GRIK3	Grik3
ZC3H12A	Zc3h12a
MEAF6	Meaf6
SNIP1	Snip1
DNALI1	Dnali1
GNL2	Gnl2
RSPO1	Rspo1
CDCA8	Cdca8
EPHA10	Epha10
MANEAL	Maneal
YRDC	Yrdc
MTF1	Mtf1
INPP5B	Inpp5b
SF3A3	Sf3a3
FHL3	Fhl3
POU3F1	Pou3f1
RRAGC	Rragc
MYCBP	Mycbp
RHBDL2	Rhbdl2
AKIRIN1	Akirin1
NDUFS5	Ndufs5
MACF1	Macf1
BMP8A	Bmp8a
PABPC4	Pabpc4
HEYL	Heyl
NT5C1A	Nt5c1a
HPCAL4	Hpcal4
PPIE	Ppie
BMP8B	Bmp8b
TRIT1	Trit1
MYCL	Mycl
MFSD2A	Mfsd2a
CAP1	Cap1
PPT1	Ppt1
RLF	Rlf
TMCO2	Tmco2
ZMPSTE24	Zmpste24
COL9A2	Col9a2
SMAP2	Smap2
ZFP69	Zfp69
EXO5	Exo5
RIMS3	Rims3
NFYC	Nfyc
MIR30E	Mir30e
KCNQ4	Kcnq4
CITED4	Cited4
SLFNL1	Slfnl1
SCMH1	Scmh1
FOXO6	Foxo6
EDN2	Edn2
HIVEP3	Hivep3
GUCA2B	Guca2b
GUCA2A	Guca2a
FOXJ3	Foxj3
RIMKLA	Rimkla
ZMYND12	Zmynd12
PPCS	Ppcs
CCDC30	Ccdc30
PPIH	Ppih
YBX1	Ybx1
CLDN19	Cldn19
ERMAP	Ermap
SLC2A1	Slc2a1
EBNA1BP2	Ebna1bp2
TMEM125	Tmem125
TIE1	Tie1
MPL	Mpl
CDC20	Cdc20
ELOVL1	Elovl1
MED8	Med8
SZT2	Szt2
HYI	Hyi
PTPRF	Ptprf
KDM4A	Kdm4a
ST3GAL3	St3gal3
ARTN	Artn
IPO13	Ipo13
DPH2	Dph2
ATP6V0B	Atp6v0b
B4GALT2	B4galt2
CCDC24	Ccdc24
SLC6A9	Slc6a9
KLF17	Klf17
DMAP1	Dmap1
ERI3	Eri3
RNF220	Rnf220
TMEM53	Tmem53
KIF2C	Kif2c
RPS8	Rps8
SNORD55	Snord55
SNORD38A	Snord38a
PLK3	Plk3
TCTEX1D4	Tctex1d4
BTBD19	Btbd19
PTCH2	Ptch2
EIF2B3	Eif2b3
HECTD3	Hectd3
UROD	Urod
ZSWIM5	Zswim5
HPDL	Hpdl
MUTYH	Mutyh
TOE1	Toe1
TESK2	Tesk2
MMACHC	Mmachc
PRDX1	Prdx1
AKR1A1	Akr1a1
NASP	Nasp
CCDC17	Ccdc17
GPBP1L1	Gpbp1l1
TMEM69	Tmem69
IPP	Ipp
MAST2	Mast2
PIK3R3	Pik3r3
TSPAN1	Tspan1
POMGNT1	Pomgnt1
LURAP1	Lurap1
RAD54L	Rad54l
LRRC41	Lrrc41
UQCRH	Uqcrh
NSUN4	Nsun4
FAAH	Faah
DMBX1	Dmbx1
KNCN	Kncn
MKNK1	Mknk1
MOB3C	Mob3c
ATPAF1	Atpaf1
EFCAB14	Efcab14
TEX38	Tex38
CYP4B1	Cyp4b1
CYP4X1	Cyp4x1
PDZK1IP1	Pdzk1ip1
TAL1	Tal1
STIL	Stil
CMPK1	Cmpk1
FOXE3	Foxe3
FOXD2	Foxd2
TRABD2B	Trabd2b
SLC5A9	Slc5a9
SPATA6	Spata6
AGBL4	Agbl4
BEND5	Bend5
ELAVL4	Elavl4
DMRTA2	Dmrta2
FAF1	Faf1
CDKN2C	Cdkn2c
RNF11	Rnf11
TTC39A	Ttc39a
EPS15	Eps15
OSBPL9	Osbpl9
SNORA26	Snora26
NRD1	Nrd1
MIR761	Mir761
RAB3B	Rab3b
TXNDC12	Txndc12
KTI12	Kti12
BTF3L4	Btf3l4
ZFYVE9	Zfyve9
CC2D1B	Cc2d1b
ORC1	Orc1
PRPF38A	Prpf38a
ZCCHC11	Zcchc11
GPX7	Gpx7
FAM159A	Fam159a
COA7	Coa7
ZYG11B	Zyg11b
ZYG11A	Zyg11a
ECHDC2	Echdc2
SCP2	Scp2
PODN	Podn
SLC1A7	Slc1a7
CPT2	Cpt2
MAGOH	Magoh
LRP8	Lrp8
DMRTB1	Dmrtb1
GLIS1	Glis1
NDC1	Ndc1
YIPF1	Yipf1
DIO1	Dio1
HSPB11	Hspb11
LRRC42	Lrrc42
LDLRAD1	Ldlrad1
TMEM59	Tmem59
TCEANC2	Tceanc2
CDCP2	Cdcp2
CYB5RL	Cyb5rl
MRPL37	Mrpl37
SSBP3	Ssbp3
ACOT11	Acot11
FAM151A	Fam151a
MROH7	Mroh7
TTC4	Ttc4
PARS2	Pars2
TTC22	Ttc22
DHCR24	Dhcr24
TMEM61	Tmem61
BSND	Bsnd
PCSK9	Pcsk9
USP24	Usp24
PRKAA2	Prkaa2
C8A	C8a
C8B	C8b
DAB1	Dab1
OMA1	Oma1
TACSTD2	Tacstd2
MYSM1	Mysm1
JUN	Jun
FGGY	Fggy
HOOK1	Hook1
NFIA	Nfia
TM2D1	Tm2d1
L1TD1	L1td1
KANK4	Kank4
USP1	Usp1
DOCK7	Dock7
ANGPTL3	Angptl3
ATG4C	Atg4c
FOXD3	Foxd3
ALG6	Alg6
ITGB3BP	Itgb3bp
EFCAB7	Efcab7
PGM1	Pgm1
ROR1	Ror1
UBE2U	Ube2u
CACHD1	Cachd1
RAVER2	Raver2
JAK1	Jak1
AK4	Ak4
DNAJC6	Dnajc6
LEPR	Lepr
LEPROT	Leprot
PDE4B	Pde4b
SGIP1	Sgip1
TCTEX1D1	Tctex1d1
INSL5	Insl5
WDR78	Wdr78
MIER1	Mier1
SLC35D1	Slc35d1
SNORA31	Snora31
IL23R	Il23r
IL12RB2	Il12rb2
SERBP1	Serbp1
GADD45A	Gadd45a
GNG12	Gng12
WLS	Wls
RPE65	Rpe65
LRRC7	Lrrc7
LRRC40	Lrrc40
SRSF11	Srsf11
ANKRD13C	Ankrd13c
CTH	Cth
PTGER3	Ptger3
ZRANB2	Zranb2
MIR186	Mir186
NEGR1	Negr1
LRRIQ3	Lrriq3
FPGT	Fpgt
TNNI3K	Tnni3k
CRYZ	Cryz
TYW3	Tyw3
LHX8	Lhx8
SLC44A5	Slc44a5
ACADM	Acadm
RABGGTB	Rabggtb
SNORD45C	Snord45c
SNORD45B	Snord45b
MSH4	Msh4
ASB17	Asb17
ST6GALNAC3	St6galnac3
ST6GALNAC5	St6galnac5
PIGK	Pigk
AK5	Ak5
ZZZ3	Zzz3
USP33	Usp33
NEXN	Nexn
FUBP1	Fubp1
DNAJB4	Dnajb4
GIPC2	Gipc2
PTGFR	Ptgfr
IFI44L	Ifi44l
IFI44	Ifi44
TTLL7	Ttll7
PRKACB	Prkacb
SAMD13	Samd13
UOX	Uox
DNASE2B	Dnase2b
RPF1	Rpf1
GNG5	Gng5
SPATA1	Spata1
CTBS	Ctbs
SSX2IP	Ssx2ip
LPAR3	Lpar3
MCOLN2	Mcoln2
WDR63	Wdr63
MCOLN3	Mcoln3
SYDE2	Syde2
BCL10	Bcl10
DDAH1	Ddah1
CYR61	Cyr61
ZNHIT6	Znhit6
COL24A1	Col24a1
ODF2L	Odf2l
CLCA2	Clca2
CLCA1	Clca1
SH3GLB1	Sh3glb1
HS2ST1	Hs2st1
LMO4	Lmo4
PKN2	Pkn2
GTF2B	Gtf2b
RBMXL1	Rbmxl1
GBP3	Gbp3
GBP2	Gbp2
GBP7	Gbp7
GBP4	Gbp4
GBP5	Gbp5
GBP6	Gbp6
LRRC8B	Lrrc8b
LRRC8C	Lrrc8c
LRRC8D	Lrrc8d
BARHL2	Barhl2
HFM1	Hfm1
CDC7	Cdc7
TGFBR3	Tgfbr3
BRDT	Brdt
EPHX4	Ephx4
GLMN	Glmn
RPAP2	Rpap2
GFI1	Gfi1
EVI5	Evi5
RPL5	Rpl5
SNORD21	Snord21
FAM69A	Fam69a
MTF2	Mtf2
TMED5	Tmed5
CCDC18	Ccdc18
DR1	Dr1
FNBP1L	Fnbp1l
BCAR3	Bcar3
MIR760	Mir760
DNTTIP2	Dnttip2
GCLM	Gclm
ABCA4	Abca4
ARHGAP29	Arhgap29
ABCD3	Abcd3
F3	F3
SLC44A3	Slc44a3
CNN3	Cnn3
ALG14	Alg14
TMEM56	Tmem56
RWDD3	Rwdd3
PTBP2	Ptbp2
DPYD	Dpyd
SNX7	Snx7
PALMD	Palmd
FRRS1	Frrs1
AGL	Agl
SLC35A3	Slc35a3
SASS6	Sass6
TRMT13	Trmt13
LRRC39	Lrrc39
DBT	Dbt
RTCA	Rtca
CDC14A	Cdc14a
GPR88	Gpr88
VCAM1	Vcam1
EXTL2	Extl2
SLC30A7	Slc30a7
DPH5	Dph5
S1PR1	S1pr1
OLFM3	Olfm3
COL11A1	Col11a1
RNPC3	Rnpc3
AMY2B	Amy2b
PRMT6	Prmt6
NTNG1	Ntng1
VAV3	Vav3
SLC25A24	Slc25a24
FAM102B	Fam102b
HENMT1	Henmt1
PRPF38B	Prpf38b
FNDC7	Fndc7
STXBP3	Stxbp3
AKNAD1	Aknad1
GPSM2	Gpsm2
CLCC1	Clcc1
WDR47	Wdr47
TAF13	Taf13
TMEM167B	Tmem167b
SCARNA2	Scarna2
SARS	Sars
CELSR2	Celsr2
PSRC1	Psrc1
MYBPHL	Mybphl
SORT1	Sort1
PSMA5	Psma5
SYPL2	Sypl2
ATXN7L2	Atxn7l2
CYB561D1	Cyb561d1
AMIGO1	Amigo1
GPR61	Gpr61
GNAI3	Gnai3
GNAT2	Gnat2
AMPD2	Ampd2
GSTM4	Gstm4
GSTM2	Gstm2
GSTM1	Gstm1
GSTM5	Gstm5
GSTM3	Gstm3
EPS8L3	Eps8l3
CSF1	Csf1
AHCYL1	Ahcyl1
STRIP1	Strip1
ALX3	Alx3
UBL4B	Ubl4b
SLC6A17	Slc6a17
KCNC4	Kcnc4
RBM15	Rbm15
SLC16A4	Slc16a4
LAMTOR5	Lamtor5
PROK1	Prok1
KCNA10	Kcna10
KCNA2	Kcna2
KCNA3	Kcna3
CD53	Cd53
LRIF1	Lrif1
DRAM2	Dram2
CEPT1	Cept1
DENND2D	Dennd2d
PIFO	Pifo
OVGP1	Ovgp1
WDR77	Wdr77
ATP5F1	Atp5f1
ADORA3	Adora3
RAP1A	Rap1a
FAM212B	Fam212b
DDX20	Ddx20
KCND3	Kcnd3
CTTNBP2NL	Cttnbp2nl
WNT2B	Wnt2b
ST7L	St7l
CAPZA1	Capza1
MOV10	Mov10
RHOC	Rhoc
PPM1J	Ppm1j
FAM19A3	Fam19a3
SLC16A1	Slc16a1
LRIG2	Lrig2
MAGI3	Magi3
PHTF1	Phtf1
RSBN1	Rsbn1
PTPN22	Ptpn22
BCL2L15	Bcl2l15
AP4B1	Ap4b1
DCLRE1B	Dclre1b
HIPK1	Hipk1
OLFML3	Olfml3
SYT6	Syt6
TRIM33	Trim33
BCAS2	Bcas2
DENND2C	Dennd2c
AMPD1	Ampd1
NRAS	Nras
CSDE1	Csde1
SIKE1	Sike1
SYCP1	Sycp1
TSHB	Tshb
TSPAN2	Tspan2
NGF	Ngf
VANGL1	Vangl1
CASQ2	Casq2
NHLH2	Nhlh2
SLC22A15	Slc22a15
MAB21L3	Mab21l3
ATP1A1	Atp1a1
IGSF3	Igsf3
CD2	Cd2
PTGFRN	Ptgfrn
CD101	Cd101
TTF2	Ttf2
TRIM45	Trim45
VTCN1	Vtcn1
MAN1A2	Man1a2
FAM46C	Fam46c
GDAP2	Gdap2
WDR3	Wdr3
SPAG17	Spag17
TBX15	Tbx15
WARS2	Wars2
HAO2	Hao2
HSD3B2	Hsd3b2
HSD3B1	Hsd3b1
PHGDH	Phgdh
HMGCS2	Hmgcs2
REG4	Reg4
ADAM30	Adam30
NOTCH2	Notch2
PDE4DIP	Pde4dip
SEC22B	Sec22b
HFE2	Hfe2
TXNIP	Txnip
POLR3GL	Polr3gl
ANKRD34A	Ankrd34a
LIX1L	Lix1l
RBM8A	Rbm8a
PEX11B	Pex11b
ITGA10	Itga10
ANKRD35	Ankrd35
PIAS3	Pias3
NUDT17	Nudt17
POLR3C	Polr3c
RNF115	Rnf115
CD160	Cd160
PDZK1	Pdzk1
PRKAB2	Prkab2
FMO5	Fmo5
CHD1L	Chd1l
BCL9	Bcl9
ACP6	Acp6
GJA5	Gja5
GJA8	Gja8
HIST2H2BB	Hist2h2bb
HIST2H2BE	Hist2h2be
HIST2H2AC	Hist2h2ac
HIST2H2AB	Hist2h2ab
BOLA1	Bola1
SV2A	Sv2a
SF3B4	Sf3b4
MTMR11	Mtmr11
OTUD7B	Otud7b
VPS45	Vps45
PLEKHO1	Plekho1
ANP32E	Anp32e
APH1A	Aph1a
MRPS21	Mrps21
PRPF3	Prpf3
RPRD2	Rprd2
TARS2	Tars2
ECM1	Ecm1
ADAMTSL4	Adamtsl4
MCL1	Mcl1
ENSA	Ensa
GOLPH3L	Golph3l
HORMAD1	Hormad1
CTSS	Ctss
CTSK	Ctsk
ARNT	Arnt
SETDB1	Setdb1
CERS2	Cers2
ANXA9	Anxa9
BNIPL	Bnipl
CDC42SE1	Cdc42se1
MLLT11	Mllt11
GABPB2	Gabpb2
SEMA6C	Sema6c
TNFAIP8L2	Tnfaip8l2
SCNM1	Scnm1
LYSMD1	Lysmd1
TMOD4	Tmod4
VPS72	Vps72
PIP5K1A	Pip5k1a
PSMD4	Psmd4
PI4KB	Pi4kb
RFX5	Rfx5
SELENBP1	Selenbp1
PSMB4	Psmb4
POGZ	Pogz
CGN	Cgn
SNORA44	Snora44
TUFT1	Tuft1
SNX27	Snx27
CELF3	Celf3
RIIAD1	Riiad1
MRPL9	Mrpl9
OAZ3	Oaz3
TDRKH	Tdrkh
LINGO4	Lingo4
RORC	Rorc
C2CD4D	C2cd4d
THEM5	Them5
THEM4	Them4
S100A10	S100a10
S100A11	S100a11
TCHHL1	Tchhl1
TCHH	Tchh
RPTN	Rptn
HRNR	Hrnr
FLG	Flg
FLG2	Flg2
CRNN	Crnn
CRCT1	Crct1
LCE3E	Lce3e
LCE3D	Lce3d
LCE3C	Lce3c
LCE3B	Lce3b
LCE3A	Lce3a
KPRP	Kprp
LCE1F	Lce1f
LCE1E	Lce1e
LCE1D	Lce1d
LCE1C	Lce1c
LCE1B	Lce1b
LCE6A	Lce6a
SMCP	Smcp
IVL	Ivl
SPRR4	Sprr4
SPRR1A	Sprr1a
SPRR3	Sprr3
SPRR1B	Sprr1b
SPRR2D	Sprr2d
SPRR2B	Sprr2b
SPRR2E	Sprr2e
SPRR2F	Sprr2f
SPRR2G	Sprr2g
LELP1	Lelp1
PRR9	Prr9
LOR	Lor
PGLYRP3	Pglyrp3
PGLYRP4	Pglyrp4
S100A9	S100a9
S100A8	S100a8
S100A7A	S100a7a
S100A6	S100a6
S100A5	S100a5
S100A4	S100a4
S100A3	S100a3
S100A2	S100a2
S100A16	S100a16
S100A14	S100a14
S100A13	S100a13
S100A1	S100a1
CHTOP	Chtop
SNAPIN	Snapin
ILF2	Ilf2
NPR1	Npr1
INTS3	Ints3
SLC27A3	Slc27a3
GATAD2B	Gatad2b
DENND4B	Dennd4b
CRTC2	Crtc2
SLC39A1	Slc39a1
CREB3L4	Creb3l4
JTB	Jtb
RAB13	Rab13
RPS27	Rps27
NUP210L	Nup210l
TPM3	Tpm3
MIR190B	Mir190b
UBAP2L	Ubap2l
HAX1	Hax1
ATP8B2	Atp8b2
SHE	She
UBE2Q1	Ube2q1
CHRNB2	Chrnb2
ADAR	Adar
KCNN3	Kcnn3
PMVK	Pmvk
PBXIP1	Pbxip1
PYGO2	Pygo2
SHC1	Shc1
CKS1B	Cks1b
FLAD1	Flad1
LENEP	Lenep
ZBTB7B	Zbtb7b
DCST2	Dcst2
DCST1	Dcst1
ADAM15	Adam15
EFNA4	Efna4
EFNA3	Efna3
EFNA1	Efna1
SLC50A1	Slc50a1
DPM3	Dpm3
KRTCAP2	Krtcap2
TRIM46	Trim46
MUC1	Muc1
MIR92B	Mir92b
THBS3	Thbs3
MTX1	Mtx1
GBA	Gba
FAM189B	Fam189b
SCAMP3	Scamp3
CLK2	Clk2
HCN3	Hcn3
PKLR	Pklr
FDPS	Fdps
RUSC1	Rusc1
ASH1L	Ash1l
MSTO1	Msto1
DAP3	Dap3
GON4L	Gon4l
SYT11	Syt11
RIT1	Rit1
RXFP4	Rxfp4
ARHGEF2	Arhgef2
SSR2	Ssr2
UBQLN4	Ubqln4
LAMTOR2	Lamtor2
RAB25	Rab25
MEX3A	Mex3a
LMNA	Lmna
SEMA4A	Sema4a
SLC25A44	Slc25a44
PMF1	Pmf1
BGLAP	Bglap
PAQR6	Paqr6
SMG5	Smg5
TMEM79	Tmem79
CCT3	Cct3
TSACC	Tsacc
RHBG	Rhbg
MIR9-1	Mir9-1
MEF2D	Mef2d
IQGAP3	Iqgap3
TTC24	Ttc24
GPATCH4	Gpatch4
HAPLN2	Hapln2
BCAN	Bcan
NES	Nes
CRABP2	Crabp2
ISG20L2	Isg20l2
RRNAD1	Rrnad1
MRPL24	Mrpl24
HDGF	Hdgf
PRCC	Prcc
SH2D2A	Sh2d2a
NTRK1	Ntrk1
INSRR	Insrr
PEAR1	Pear1
LRRC71	Lrrc71
ARHGEF11	Arhgef11
ETV3L	Etv3l
ETV3	Etv3
FCRL5	Fcrl5
FCRL1	Fcrl1
CD5L	Cd5l
KIRREL	Kirrel
SPTA1	Spta1
AIM2	Aim2
CADM3	Cadm3
MPTX1	Mptx1
FCER1A	Fcer1a
APCS	Apcs
CRP	Crp
DUSP23	Dusp23
FCRL6	Fcrl6
